DateTime,x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s)
2030-11-14 08:59:14.528250,-1352315.953746,-6726327.365495,2320305.138664,-1562.148674,-2135.545563,-6881.262949
2030-11-14 09:00:29.204511,-1464903.657520,-6865979.180669,1800138.747407,-1451.769177,-1602.984289,-7043.118493
2030-11-14 09:01:43.760980,-1568775.380005,-6965399.588728,1270288.592691,-1333.301670,-1062.850190,-7163.329073
2030-11-14 09:02:58.063746,-1663221.801787,-7024199.337571,734872.310997,-1207.709807,-519.223955,-7241.447884
2030-11-14 09:04:11.818042,-1747489.411623,-7042516.352541,199199.606564,-1076.325335,22.645607,-7277.523085
2030-11-14 09:05:27.230781,-1823397.194407,-7019931.875992,-349666.613292,-935.832716,575.919212,-7271.591000
2030-11-14 09:06:42.355823,-1888273.408725,-6956075.198504,-894378.263209,-790.493447,1123.183174,-7222.757395
2030-11-14 09:07:58.059091,-1942425.278025,-6850385.449403,-1437945.528839,-639.445220,1667.584202,-7130.562765
2030-11-14 09:09:13.688095,-1984959.260227,-6704013.225346,-1972398.150091,-484.812591,2201.257766,-6995.952498
2030-11-14 09:10:29.325331,-2015688.072606,-6517738.871475,-2495144.559456,-327.319522,2721.752960,-6819.639764
2030-11-14 09:11:44.947742,-2034422.869736,-6292738.031962,-3002912.159995,-167.915090,3225.942857,-6602.705853
2030-11-14 09:13:00.545327,-2041058.154455,-6030404.989447,-3492618.294244,-7.531359,3710.893014,-6346.445349
2030-11-14 09:14:16.107141,-2035564.098378,-5732368.957570,-3961291.033251,152.893442,4173.778687,-6052.381474
2030-11-14 09:15:31.619589,-2017987.864767,-5400493.141428,-4406079.756900,312.416608,4611.892046,-5722.266968
2030-11-14 09:16:47.070412,-1988453.360357,-5036847.665769,-4824299.497396,470.104854,5022.682789,-5358.059483
2030-11-14 09:18:02.443651,-1947162.317040,-4643719.619348,-5213421.258396,625.029287,5403.745723,-4961.934273
